assay,unit,S1,S2,S3,S4,S5,S6,S7,S8
CRP,pg_ml,10000,2500,625,156.25,39.0625,9.765625,2.44140625,0
sTREM1,pg_ml,10000,2500,625,156.25,39.0625,9.765625,2.44140625,0
Ang-2,ng_ml,100,25,6.25,1.5625,0.390625,0.09765625,0.024414063,0
Ang-1,ng_ml,50,12.5,3.125,0.78125,0.1953125,0.048828125,0.012207031,0
sTNF-R1,pg_ml,2500,625,156.25,39.0625,9.765625,2.44140625,0.610351563,0
IL-6,pg_ml,10000,2500,625,156.25,39.0625,9.765625,2.44140625,0
TRAIL,pg_ml,10000,2500,625,156.25,39.0625,9.765625,2.44140625,0
IL-10,pg_ml,4000,1000,250,62.5,15.625,3.90625,0.9765625,0
Azu,ng_ml,200,50,12.5,3.125,0.78125,0.1953125,0.048828125,0
MxA,ng_ml,300,75,18.75,4.6875,1.171875,0.29296875,0.073242188,0
IP-10,pg_ml,10000,2500,625,156.25,39.0625,9.765625,2.44140625,0
CH3L1,ng_ml,100,25,6.25,1.5625,0.390625,0.09765625,0.024414063,0
IL-8,pg_ml,2500,625,156.25,39.0625,9.765625,2.44140625,0.610351563,0
