Location,Sample,Ang-1,Ang-2,Azu,CHI3L1,CRP,IL-10,IL-6,IL-8,IP-10,MxA,sTNFR-1,sTREM-1,TRAIL
"1(1,A1)",Unknown1,6665.5,9454,4648,11180,6028,5060.5,6650,7750,9917,2069,1869,1619,4798
"2(1,B1)",Unknown2,2104,4311,5049,9257,3610,2565.5,4590,4401,6044,1162,677,710,2944.5
"3(1,C1)",Unknown3,489.5,807,5256.5,4843,2403,996,1822,1491,1605,292,337,328.5,1300
"4(1,D1)",Unknown4,168,123,4489,1128,1664,369.5,716.5,420,385,74.5,219,200.5,432
"5(1,E1)",Unknown5,83,69.5,2482,242.5,1030,127,226,139,109,40,188,157,104
"6(1,F1)",Unknown6,78.5,55.5,1975,59,797,90,86,111,64,37,196.5,179,63
"7(1,G1)",Unknown7,75,53,1650,34,574.5,72.5,49.5,81,56,34,188,172.5,48
"8(1,H1)",Unknown8,71.5,49,1574,32,616,69,37,81,51,34,192,173.5,46
"9(1,A2)",Unknown9,7102,9322,4505,11371,6692,6076,6823,8156,10399,2196.5,1859,2801,6378
"10(1,B2)",Unknown10,2283,5889.5,4999.5,10752,4360,2889,4893.5,4766,6551,1253,717.5,922,3379
"11(1,C2)",Unknown11,487,790,4911.5,4924.5,2546,1078,1942.5,1449,1455.5,297.5,302,313,1262
"12(1,D2)",Unknown12,156.5,113,4545,1028.5,1556,329,716,363,343,70,203,173.5,357
"13(1,E2)",Unknown13,87,72,2557.5,234,1313,134,238,133,112,41,175,164,115
"14(1,F2)",Unknown14,72,60,1791,58,661,80,86.5,92,63,35,189,163,60
"15(1,G2)",Unknown15,75,50.5,1557,35,608,67.5,50.5,85,53,33,183,156,48
"16(1,H2)",Unknown16,68,50,1547,32.5,617.5,63.5,38,81,55,35,204.5,183,47
"17(1,A3)",Unknown17,80,56,1404,12629,511,63,39,68,51.5,36,177.5,155,45
"18(1,B3)",Unknown18,75,45.5,1400,9268,546,62,38.5,80,51,36,188,169,44
"19(1,C3)",Unknown19,71,52,1505,3305,501.5,65,37,72,52,35,185,163.5,46
