Location,Sample,CRP,sTREM-1,Ang-2,Ang-1,sTNFR-1,IL-6,TRAIL,IL-10,Azu,MxA,IP-10,CHI3L1,IL-8
"1(1,A1)",Unknown1,768,186,102.5,92,217,41.5,54,84,1457,40,5931,41,75
"2(1,B1)",Unknown2,721,196,63,83,229.5,39,52,72,1593,36,2088,33,72
"3(1,C1)",Unknown3,687,183,56,80,206.5,39,49,71,1577,35,577,34,75.5
"4(1,D1)",Unknown4,703,213,59,87,238,39,53,72,1638,35,138.5,34,77
"5(1,E1)",Unknown5,750,189,54,81,219,37,53,69,1548,36,63,32,68
"6(1,F1)",Unknown6,716,196,56,78,213,37,51,71,1582.5,34,55,33,76
"7(1,G1)",Unknown7,729.5,201,55.5,83,230,38,50,71,1659,34,50,32,69
"8(1,H1)",Unknown8,748,196,53,78,204,38,48,69,1583,34,51,32,79.5
"9(1,A2)",Unknown9,696,179,101,82,208,41,52,80,1513,39,5497,39,79.5
"10(1,B2)",Unknown10,709,205,60,79,219,38,54,71,1571,34,1489,32,70.5
"11(1,C2)",Unknown11,755,176.5,53,76.5,205,38,48,70,1547.5,35,538,32,71
"12(1,D2)",Unknown12,697.5,180.5,51,80.5,207,39,47.5,72,1541,34,119,32,73.5
"13(1,E2)",Unknown13,743,188,51,73,203,38,47.5,71,1532,34,61,33,80
"14(1,F2)",Unknown14,773.5,170,47,75,195,37,48,68,1425.5,33,53,31,73
"15(1,G2)",Unknown15,736,197,55,74,212.5,38,51,69,1543.5,34.5,52,32,71.5
"16(1,H2)",Unknown16,805.5,183,48,73,202,37,47,69,1467,33,50,32,76
"17(1,A3)",Unknown17,696.5,1692,53,82,213,39,51,70,1543,35,53,32,70
"18(1,B3)",Unknown18,732,607.5,52,86.5,227,38,53,69.5,1638,34,54,33,74
"19(1,C3)",Unknown19,764.5,293,50.5,78.5,211.5,37,50,68,1528.5,36,53,31.5,70
"20(1,D3)",Unknown20,732.5,221,52,80.5,214,37,50,70,1585.5,33,51,32,81
"21(1,E3)",Unknown21,719,186,50,75,188.5,38,48,68,1507,35,51,31.5,75
"22(1,F3)",Unknown22,733,198,51,81,223,37.5,50,71,1503,34,53,33,80
"23(1,G3)",Unknown23,790,187.5,52.5,75,208,37,47.5,70,1507,35,53,32,82
"24(1,H3)",Unknown24,751,182.5,51,75,199,37,48.5,70,1498,35,51,33,79
"25(1,A4)",Unknown25,733,1423,54,85,221,38,54,73,1510.5,35,53,33,74
"26(1,B4)",Unknown26,691,639,53,86,236,38,53,73,1625.5,34,52,32,68
"27(1,C4)",Unknown27,712,271.5,50,74,200,37,50,69,1398,34,52,31.5,72.5
"28(1,D4)",Unknown28,701,222,51,79,222,38,51,69,1592,35,53,32.5,77.5
"29(1,E4)",Unknown29,693.5,186,51,74,195,37,49,67,1503,34,51,32,65
"30(1,F4)",Unknown30,757,195,48.5,80,211,38,49.5,68,1588,34,53,32,71
"31(1,G4)",Unknown31,797.5,201,53,84,227,38,49.5,72,1566,34,54,32.5,75
"32(1,H4)",Unknown32,714.5,192,52,71,213,38,48,70,1490,34,52,33,81
"33(1,A5)",Unknown33,631,179,50,77.5,196,38,47,69,1498,34,54,32,73
"34(1,B5)",Unknown34,696,200,53,78,218.5,38,51.5,70,1581.5,34,52,33,79
"35(1,C5)",Unknown35,653,165,47.5,68,179,37,46,68,1436,35,50,32,76
"36(1,D5)",Unknown36,738,193,50,75,187,37,48,68,1586.5,35,51,31,72
"37(1,E5)",Unknown37,722,186,50,74,187.5,37,48,69,1538,35,52,32,69
"38(1,F5)",Unknown38,732,191,52,75.5,188,38,47,68,1487.5,34,49,32,76.5
"39(1,G5)",Unknown39,701,187.5,50,80,205,38,47,70,1599,35,50,33,71
"40(1,H5)",Unknown40,700,173,51,66,191,37,45,70,1447.5,33,50,32,76
"41(1,A6)",Unknown41,710,197,50.5,86,218,37,50,73,1559,35,50,31,70
"42(1,B6)",Unknown42,723,200,52,82,213,38,50,69,1565,34,51,32,72
"43(1,C6)",Unknown43,720,178,50,72,188.5,38,47.5,72,1440,33,51,31,71
"44(1,D6)",Unknown44,696,204,51,81,210.5,37,48.5,68,1642.5,34,51,32,78
"45(1,E6)",Unknown45,684,191,51,82,189.5,37,48,66,1573,34,49,32,76
"46(1,F6)",Unknown46,693.5,192,50,74,190.5,36,48.5,65,1521.5,34,51,31,81
"47(1,G6)",Unknown47,728,174.5,48,73,194.5,37,47,66,1538,34,51,31,68
"48(1,H6)",Unknown48,728.5,174,50,74,189,37,46,69,1444,34,51,31,74
"49(1,A7)",Unknown49,7062,2286.5,8590,6197,1511,7262,5334,7567,5045.5,2261.5,10307.5,11982,8751
"50(1,B7)",Unknown50,4780,992,5622,2768,457,5099,2875.5,4127.5,5153,1881,6834,10870,5369
"51(1,C7)",Unknown51,2784,368,882,879.5,154,2179,1217,1616,4221,1022.5,1694,5337,1766
"52(1,D7)",Unknown52,2089,238,255,272,102,786,354,539,3883,347,400,1184,464
"53(1,E7)",Unknown53,1394,197,125,139.5,85,243,122.5,181,2550.5,111,111,213,159
"54(1,F7)",Unknown54,861,193,71,88.5,82.5,86,63,90,1809.5,53,59,55,94
"55(1,G7)",Unknown55,682,183.5,61,78,48.5,50.5,51,75,1504,38,52,34,83.5
"56(1,H7)",Unknown56,741,193,51,77,206,37,46.5,68.5,1530,35,50,31,72
"57(1,A8)",Unknown57,7292,2439.5,10148,7600,1442.5,7264,5463,7611,5068.5,2343.5,10725,12064.5,8279.5
"58(1,B8)",Unknown58,4742,1041,5501,2571.5,435,5064,3108.5,4014.5,5014,1833,6619.5,10732.5,5129.5
"59(1,C8)",Unknown59,2681,345,888.5,854,140,2223,1226,1638,4226,984,1666.5,5289,1794
"60(1,D8)",Unknown60,2048,211,245.5,246.5,88,761,355,516.5,3625,347,397,1168,456
"61(1,E8)",Unknown61,1427.5,180,137,128.5,77,244,114,177,2447,114,106,220,163
"62(1,F8)",Unknown62,806,177,66,80,81,82,60,89.5,1710,49,59,52,86
"63(1,G8)",Unknown63,625.5,157,56,69,49,50,49,72,1407.5,38,50,34,72
"64(1,H8)",Unknown64,685,176,50,68.5,187,36,45,66,1455,33,49,32,73.5
