Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.2.1705.0,,,,,,,,,,,,,,,
Date,05/23/2023,3:50 PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX17237721,,,,,,,,,,,,,,,
Batch,230523_Tegwen_bead_QC,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,helena,,,,,,,,,,,,,,,
ComputerName,MAGPIX-PC,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,
ProtocolName,Tegwen_12plex,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,
SampleWash,Off,,,,,,,,,,,,,,,
SampleVolume,50 uL,,,,,,,,,,,,,,,
BatchStartTime,5/23/2023 3:51:00 PM,,,,,,,,,,,,,,,
BatchStopTime,5/23/2023 4:27:30 PM,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,Mylar Plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,12,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
Last CAL Calibration,Passed 05/23/2023 15:36:59,,,,,,,,,,,,,,,
Last VER Verification,Passed 05/23/2023 15:37:57,,,,,,,,,,,,,,,
Last Fluidics Test,Passed 05/23/2023 15:39:13,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1Temp,CL2Temp,RP1LongTemp,RP1ShortTemp,CL1Current,CL2Current,RP1LongCurrent,RP1ShortCurrent,CL1Factor,CL2Factor,RP1LongFactor,RP1ShortFactor,Result,MachineSerialNo
B89496,08/02/2023,5/23/2023 3:36:59 PM,20,20,20,20,223,234,309,309,0.007,0.007,0.00393,0.11673,Pass,MAGPX17237721
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Samples,64,Min Events,50,Per Bead,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,,,,
Location,Sample,Ang-1,Ang-2,Azu,CH3L1,IL-10,IL-6,IL-8,IP-10,MxA,sTNF-R1,sTREM1,TRAIL,Total Events,,
"1(1,A1)",Unknown1,40240,55615,34819,42355,31566,33499.5,28553,38830,967,14565,18718.5,28115,1251,,
"2(1,B1)",Unknown2,11740.5,20891,32139.5,37825,12378,20813.5,16041,35372,434,4753,4998,16164.5,1058,,
"3(1,C1)",Unknown3,2290.5,2769.5,27349,18699,2959,8396,5203,14523,210.5,1634,1017,5605,1243,,
"4(1,D1)",Unknown4,604,682,12165,3298.5,943.5,2542,1092,3174.5,104.5,972,374,1390,1273,,
"5(1,E1)",Unknown5,203,234,3301,425,469,813.5,344,682,67,735,213,431,1341,,
"6(1,F1)",Unknown6,138,151,1056,112.5,366.5,310,193,264,61,689,187,187.5,1339,,
"7(1,G1)",Unknown7,124,144,627,86,325.5,172,168,209,57,666,171.5,141,1100,,
"8(1,H1)",Unknown8,120,127.5,527.5,70.5,292.5,125,153,197,55,633,172,122.5,1157,,
"9(1,A2)",Unknown9,42580,58158,34763,43381.5,33209,35037,28962.5,39720,864.5,15040.5,19585,28924,692,,
"10(1,B2)",Unknown10,12460.5,27279,34370,39135,12987,22353,16745,35938,423,5044,5297.5,15769.5,1344,,
"11(1,C2)",Unknown11,2109,3027.5,27597.5,19372.5,2970.5,9005,5062,14393,213,1564,1052,5882.5,1105,,
"12(1,D2)",Unknown12,539,586.5,13804.5,3710,974,2655.5,1084,3208,99,912,370,1442,1324,,
"13(1,E2)",Unknown13,214,220.5,2723,446,498,815,343,691.5,65,738,205,430.5,979,,
"14(1,F2)",Unknown14,134,151,1052,114,335.5,301,194.5,251,59,666,192,186,1537,,
"15(1,G2)",Unknown15,118,130,568.5,82,298,167,156,197.5,59,644.5,165.5,140.5,1228,,
"16(1,H2)",Unknown16,119,136.5,550.5,76,315.5,130,151,201,59,634,173,121,1466,,
"17(1,A3)",Unknown17,42978.5,62345,36937,44751,38167,41932,37938,41889,4155,17486,30889,30466,1164,,
"18(1,B3)",Unknown18,14125,41150.5,35013,40662,19075.5,29569,21380,35442,1933,6220,8337,18837,1646,,
"19(1,C3)",Unknown19,2556.5,6868,31746,19389,5032,12658,6995,13017,878.5,2208,1524,6679,1500,,
"20(1,D3)",Unknown20,705,1106.5,21515,3938,1687,4327,1417,2637,340.5,1400,627,1761,1666,,
"21(1,E3)",Unknown21,327,451.5,11273,526.5,877,1273.5,490,690,177,1156,438,658.5,1946,,
"22(1,F3)",Unknown22,243,298,7095,165,678,465,298,382,131,1063,415.5,375.5,1639,,
"23(1,G3)",Unknown23,223,260,4569,123,572,239.5,254,341,118,1013.5,405,294.5,1737,,
"24(1,H3)",Unknown24,216,244,4226,109,600,167,232.5,336,110,1047,403,275,1796,,
"25(1,A4)",Unknown25,41488,58773,35219.5,41660,36506,39810,35956,40671,4063,16336,28810,29241,1449,,
"26(1,B4)",Unknown26,14884.5,42310,36216.5,40001,17521,29764,21918.5,35991.5,2116,6308,9326,19020,1475,,
"27(1,C4)",Unknown27,2757,7803,32481,19898,5378,12809,6958,12991,891,2395,1588.5,7038,1836,,
"28(1,D4)",Unknown28,702.5,1100.5,21266,3649.5,1542.5,4275,1416.5,2585,342,1377,586,1797.5,1600,,
"29(1,E4)",Unknown29,310,461,11416,533,821,1253,477,703,180,1118,435.5,657,1723,,
"30(1,F4)",Unknown30,248,296.5,7027,158,670,464,301,376,133,1068.5,402,362,1743,,
"31(1,G4)",Unknown31,217,259,5067,125,620.5,241,243,344,123,1045,392,309.5,1660,,
"32(1,H4)",Unknown32,212,240,3897,115.5,580,173,233,334,111.5,991,387,283,1622,,
"33(1,A5)",Unknown33,42618.5,67250.5,35483,42306.5,42436,38957,35052.5,41253,2187,17197.5,25783,17564,1692,,
"34(1,B5)",Unknown34,16636,29643,34405,39753,24962.5,30126,18693.5,31379,1732,5702,5124,7942.5,1356,,
"35(1,C5)",Unknown35,4574,5233,26513,17434,9478,12735.5,4996,7802,874.5,1951.5,916,1854,1695,,
"36(1,D5)",Unknown36,1500,2090,17594,2926,3086,4464,1026,1650,345,1245,506.5,624,1935,,
"37(1,E5)",Unknown37,567,734,10362.5,443,1297,1295,410.5,556,181,1077,403,361,1693,,
"38(1,F5)",Unknown38,312,373,6185,152,807,479.5,284.5,359,131,1033,404.5,305.5,1697,,
